Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
44	4.8644614	3.0092938	10.013451	-1.5005858	22.857143	20.482944	74.0	0.0	1000.0	44230.0	0.032762962962962966	0.49315664	0.5465453	1.6609937	-0.8230709	2.7573254	3.6369877	21.63913	0.60985845	0.0	-0.0044869776	3.7252903e-09	-0.013676238	0.105160624	-0.041831464	25.981842	-4.835182	1.4930534	-0.0010868311	3.0	1.8093778	0.015312772	1350000	1266.9345989227295
45	5.7450004	3.7260234	14.026247	-2.250337	12.464286	17.249186	72.0	0.0	1000.0	44750.0	0.03242753623188406	0.58798265	0.5370047	2.2492592	-0.8352385	2.2425656	2.2876844	17.707119	0.7313304	-1.4901161e-08	-0.0054020695	-2.9802322e-08	-0.0135154165	0.106665805	-0.039931457	31.172892	-5.1068263	1.4919666	-0.0030004978	6.0	1.8082612	0.014258439	1380000	1295.4338147640228
46	6.6338162	3.1436782	12.102838	-0.24394074	16.642857	16.49072	53.0	0.0	1000.0	45216.0	0.03206808510638298	0.6803678	0.5930288	1.9804122	-0.9165143	1.9058664	2.1097908	19.54816	-0.8965583	-3.7252903e-09	-0.0020359205	-1.4901161e-08	-0.005266426	0.112923756	-0.036906596	9.671612	-2.0927649	1.4889661	-0.004573226	2.0	1.806649	0.010571638	1410000	1323.469826221466
47	5.418297	2.548207	10.482965	-1.097968	31.25	73.865524	394.0	0.0	1000.0	46107.0	0.03201875	0.5103374	0.6555376	1.9679224	-1.3236555	1.5913635	2.268845	20.22129	-1.1517777	1.4901161e-08	-0.0055262297	2.9802322e-08	-0.016054675	0.14773765	-0.06337826	87.9677	-34.0295	1.4843929	-0.0024487972	7.0	1.8060926	0.015010166	1440000	1351.8686373233795
48	4.856067	2.1469061	9.487459	0.7530336	8.75	15.025276	68.0	0.0	1000.0	46434.0	0.031587755102040815	0.6028385	0.5367869	1.7802889	-0.88019335	2.2673547	2.183335	21.778948	-2.2124527	1.8626451e-09	-0.0061611924	7.450581e-09	-0.013575779	0.13021521	-0.05449773	17.968727	-6.243105	1.4819441	-0.004965067	9.0	1.8055471	0.013036359	1470000	1380.4674196243286
49	4.823527	2.3946161	10.449983	1.3711311	16.571428	36.85728	192.0	0.0	1000.0	47195.0	0.031463333333333336	0.47365683	0.58297825	1.8926145	-1.2182792	1.5524805	2.2429101	27.475258	0.44856495	4.4703484e-08	-0.006198507	8.940697e-08	-0.018566355	0.14110476	-0.05259732	89.17325	-34.95298	1.476979	-0.0061455965	7.0	1.8064464	0.019366637	1500000	1408.9745852947235
50	3.826565	3.0079992	11.113966	-1.0413231	2.6785715	6.990062	26.0	0.0	1000.0	47270.0	0.030895424836601307	0.49344572	0.6442202	2.034268	-1.1544015	1.7409189	1.8085246	21.327429	-0.13277984	-1.6996637e-08	-0.0026314692	-1.8626451e-08	-0.005718383	0.12131934	-0.054685153	6.2194247	-4.7197757	1.4708334	-0.0097949505	7.0	1.8081021	0.008840641	1530000	1437.690687417984
51	4.377271	2.6331377	11.23607	0.54751736	4.571429	15.400437	80.0	0.0	1000.0	47457.0	0.030421153846153848	0.4003631	0.67407084	2.3436396	-1.5271335	0.46114162	0.9305913	14.991246	-1.6906337	-9.313226e-10	-0.0013769763	-7.450581e-09	-0.0025718752	0.10988393	-0.047362886	8.982745	-1.2462001	1.4610385	-0.013137817	2.0	1.8090698	0.009393752	1560000	1465.833988904953
52	6.2094445	3.5287979	13.798828	0.12260179	7.5	10.732128	32.0	0.0	1000.0	47702.0	0.03000125786163522	0.5558419	0.65881574	2.0433078	-1.1125343	0.7029806	1.423691	14.581078	-0.20471603	-9.313226e-09	-0.009284299	1.1175871e-08	-0.0172393	0.13137071	-0.062347706	5.370579	-1.2487634	1.4479007	-0.008980513	58.0	1.8093232	0.012260037	1590000	1498.416922569275
53	6.8605075	3.9680147	13.429836	-0.3446763	14.035714	18.451641	63.0	0.0	1000.0	48113.0	0.029699382716049383	0.6377951	0.64376354	2.1980295	-0.86432004	0.9510804	1.7440789	15.767048	-0.30833727	-3.7252903e-09	-0.011422165	-7.450581e-09	-0.022074746	0.15393528	-0.06936087	10.147042	-2.2287788	1.4389201	-0.008709192	41.0	1.8149107	0.012234347	1620000	1530.2231681346893
