Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
44	18.026396	2.0772576	21.226912	12.453834	91.0	30.719158	147.0	40.0	1000.0	113365.0	0.08397407407407408	1.8796102	0.48444122	2.8595033	-0.029918246	8.704895	5.375698	32.602318	-2.103882	-9.313226e-09	-0.008587202	-3.7252903e-08	-0.00060501695	0.11909472	-0.026665144	29.700737	-15.449995	0	0	2.43054	0.0	1.2387717	0.009499471	1350000	965.7271189689636
45	19.33055	2.882689	25.579638	13.516581	81.708336	32.160378	161.0	6.0	1000.0	115689.0	0.08383260869565218	1.8824744	0.46463278	2.766732	-0.2790627	8.569514	5.0224614	30.572777	-2.8200138	-1.1175871e-08	-0.007858144	3.7252903e-08	0.0063505704	0.16957939	-0.042885013	24.360134	-12.917637	0	0	2.5615633	0.0	1.2224663	0.009518054	1380000	987.6443672180176
46	18.982595	2.2253237	23.602587	14.443958	85.958336	26.0472	137.0	33.0	1000.0	118270.0	0.08387943262411347	1.954037	0.47311264	3.0737517	-0.026058508	8.396053	5.0336843	32.946453	-4.699161	-1.4901161e-08	-0.0067723277	1.8626451e-09	0.001526342	0.13622822	-0.033606693	24.054901	-11.839344	0	0	2.909433	0.0	1.2041724	0.0097064935	1410000	1009.4552597999573
47	17.570335	2.655088	26.179045	14.33596	79.708336	29.981216	131.0	16.0	1000.0	120567.0	0.08372708333333333	1.8929739	0.4928272	3.1916966	-0.39851594	8.338215	5.0715456	32.738422	-2.2460861	-1.8626451e-09	-0.00854238	-3.7252903e-09	0.0011539817	0.16039522	-0.03547117	21.506067	-11.186981	0	0	2.4256155	0.0	1.1933906	0.009616658	1440000	1031.328069448471
48	18.628736	2.246007	22.524227	14.100438	77.916664	31.755466	175.0	35.0	1000.0	122845.0	0.08356802721088435	1.90882	0.48837644	2.9566445	-0.49242422	7.742142	5.3470235	37.01652	-4.643862	-1.8626451e-09	-0.0071711103	-2.2351742e-08	-0.0010335008	0.14165361	-0.038487494	23.171598	-12.64619	0	0	2.8106956	0.0	1.2121195	0.009756647	1470000	1053.0958740711212
49	18.580324	2.9263306	24.595703	12.726986	84.583336	26.67695	156.0	42.0	1000.0	125249.0	0.08349933333333333	1.9183009	0.4767325	2.939521	-0.49711514	7.971901	5.161409	31.698978	-3.6427877	1.6763806e-08	-0.006894717	-2.6077032e-08	-0.0009561244	0.14797822	-0.03683804	23.905453	-12.747222	0	0	2.8186998	0.0	1.2206789	0.009663355	1500000	1074.7493832111359
50	19.13159	2.2157536	24.214928	14.577582	78.125	29.28497	133.0	27.0	1000.0	127630.0	0.08341830065359478	1.9654818	0.48162445	2.8452053	-0.5132759	8.372878	4.9867992	29.879585	-3.4815273	8.8475645e-09	-0.0077240453	1.1175871e-08	-0.0013897063	0.12691583	-0.02294437	22.443424	-12.202914	0	0	2.6233685	0.0	1.2128818	0.009548197	1530000	1096.7202463150024
51	17.923157	2.274462	22.090363	13.863254	73.75	27.339304	144.0	35.0	1000.0	129782.0	0.08319358974358974	1.9169838	0.47680244	3.089528	-0.010061204	7.9662333	4.987309	28.181404	-1.5973724	1.8626451e-09	-0.0077720117	-1.8626451e-08	-0.00027247588	0.11877896	-0.026483227	22.02789	-12.215986	0	0	2.6428452	0.0	1.229994	0.009855527	1560000	1118.3955209255219
52	17.244932	2.4794936	23.260544	12.4301815	65.625	27.530003	134.0	14.0	1000.0	131916.0	0.08296603773584905	1.876761	0.48319992	2.879327	-0.1313544	7.203276	4.687646	29.28032	-5.01013	-5.5879354e-09	-0.009962484	1.4901161e-08	-0.0014205014	0.120483145	-0.023716226	21.903273	-12.2449255	0	0	2.1174283	0.0	1.2228553	0.00977717	1590000	1140.2158184051514
53	19.388498	2.1615648	23.59812	14.411704	82.916664	36.69913	151.0	6.0	1000.0	134326.0	0.08291728395061729	1.8921689	0.42364067	2.6232946	-0.32999438	7.8326964	5.0508437	30.955984	-4.4926057	5.5879354e-09	-0.0066970377	0.0	8.9473906e-05	0.13030383	-0.031658173	26.283789	-14.126961	0	0	2.9452858	0.0	1.2225454	0.009175308	1620000	1161.8794543743134
