Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
47	7.7725906	4.6629148	20.072165	-0.4639496	7.8	10.251505	31.0	0.0	1000.0	51564.0	0.03580833333333333	0.80465937	0.73413545	2.3973746	-1.0220484	2.0245209	2.4326441	16.715588	0.9477926	9.967827e-09	-0.008314175	1.2207031e-08	-0.0105264755	0.15234295	-0.08626422	7.629921	-4.30575	1.7257522	0.010185003	2.3925576	0.0	1.5599349	0.009478734	1440000	4455.352108001709
48	8.457216	6.121333	19.74307	-1.9295847	13.033334	32.06398	175.0	0.0	1000.0	51955.0	0.035343537414965986	0.77872795	0.7619945	2.6035097	-1.0854065	0.90933853	1.2438737	14.923664	0.47643423	-8.839814e-09	-0.010331141	-1.6276042e-08	-0.012056913	0.17674471	-0.08345059	20.934475	-3.0431347	1.7359372	0.0066649914	1.9038906	0.0	1.571553	0.009684005	1470000	4552.522509813309
49	9.908314	5.5145607	18.266941	-0.39310297	24.8	33.515564	139.0	0.0	1000.0	52699.0	0.035132666666666666	0.8932807	0.7490324	2.4372425	-1.0892545	1.2293112	1.6747295	14.072211	0.59663284	-3.6981024e-08	-0.013822041	-4.0690104e-08	-0.018597664	0.17529885	-0.09596103	30.521187	-9.124632	1.7426022	0.0060219765	1.3518386	0.0	1.5692627	0.00943224	1500000	4648.576149463654
50	9.423151	4.8875823	21.072105	0.7157224	25.333334	26.440289	108.0	0.0	1000.0	53459.0	0.03494052287581699	0.96369225	0.72826266	2.7872727	-0.6871308	2.5446405	3.0555794	15.069182	0.8931775	3.1622772e-08	-0.013205293	4.0690104e-08	-0.02005564	0.19669352	-0.113579676	23.38986	-6.2554417	1.7486242	0.005552292	1.4887457	0.0	1.5269067	0.009481288	1530000	4742.191768169403
51	11.407894	5.922571	20.244375	-2.3060746	19.733334	19.539589	62.0	0.0	1000.0	54051.0	0.03464807692307692	1.0332614	0.71241575	2.5088174	-0.9502369	2.5777357	2.8162045	15.53826	1.077353	2.7947995e-09	-0.012200404	1.6276042e-08	-0.01664349	0.18075226	-0.10401058	12.586613	-3.8461838	1.7541765	0.0038772821	1.5904824	0.0	1.506218	0.009745036	1560000	4840.2670378685
52	9.251809	5.2230425	18.285696	-2.5322719	20.066668	24.612915	116.0	0.0	1000.0	54653.0	0.034372955974842766	0.99857086	0.76279753	2.6181307	-0.7722195	1.9940237	2.268988	14.653291	0.94323087	8.991652e-09	-0.011510109	1.6276042e-08	-0.01720155	0.20863096	-0.11310419	18.017693	-4.2405567	1.7580538	0.002417326	1.7616404	0.0	1.52024	0.009202834	1590000	4938.317309141159
53	11.189089	5.543274	21.054651	-2.4431398	16.966667	19.66127	69.0	0.0	1000.0	55162.0	0.03405061728395062	1.1066424	0.7390557	2.6668954	-0.61824405	1.9572453	2.2169116	15.287164	1.0225155	1.1454582e-08	-0.010677042	8.138021e-09	-0.014541333	0.2205807	-0.12254847	13.946454	-4.261468	1.7604711	0.00037944317	1.9273539	0.0	1.5715868	0.009442041	1620000	5033.3023228645325
54	10.801862	4.72923	20.058273	0.71707237	14.2	18.827991	74.0	0.0	1000.0	55588.0	0.03368969696969697	1.0572113	0.7855467	2.6237612	-0.71012574	1.6811258	2.1241271	16.778069	0.8593313	-5.146634e-10	-0.009713502	3.8146974e-09	-0.012134945	0.15782043	-0.07966078	10.611827	-3.1613913	1.7608505	-0.0021077394	2.0366132	0.0	1.6069798	0.009323536	1650000	5120.129836559296
55	10.217584	5.409444	19.870161	-1.0392982	23.066668	31.81083	125.0	0.0	1000.0	56280.0	0.0335	1.0184581	0.7242843	2.7506623	-0.7411018	1.3990265	1.9028645	15.323904	0.7648002	5.531066e-10	-0.013426455	0.0	-0.02022275	0.20231947	-0.11035507	32.858196	-5.5010834	1.7587428	-0.0023553371	1.4364493	0.0	1.6037494	0.0096598035	1680000	5214.427254199982
56	12.14999	4.999361	21.198189	2.12757	22.233334	25.928982	94.0	0.0	1000.0	56947.0	0.03330233918128655	1.1617955	0.6873888	2.657531	-0.6271513	2.2854447	2.497964	17.693033	1.2084342	-3.538127e-08	-0.015181895	-5.900065e-08	-0.022406507	0.19524297	-0.10748633	26.598555	-6.360298	1.7563875	-0.0027754307	1.3295751	0.0	1.588056	0.009296332	1710000	5299.340571403503
